Unidades de medida;Países y Continentes;Tipo de transporte según destino;Tipo de dato;Periodo;Total
Viajeros;Francia;Salidas internacionales de España;Dato base;2021;183.930
Viajeros;Francia;Salidas internacionales de España;Dato base;2020;127.297
Viajeros;Francia;Salidas internacionales de España;Dato base;2019;443.052
Viajeros;Francia;Salidas internacionales de España;Dato base;2018;431.171
Viajeros;Francia;Salidas internacionales de España;Dato base;2017;435.975
Viajeros;Francia;Salidas internacionales de España;Dato base;2016;419.603
Viajeros;Francia;Salidas internacionales de España;Dato base;2015;464.269
Viajeros;Francia;Salidas internacionales de España;Dato base;2014;406.461
Viajeros;Francia;Salidas internacionales de España;Dato base;2013;120.987
Viajeros;Francia;Salidas internacionales de España;Dato base;2012;148.670
Viajeros;Francia;Salidas internacionales de España;Dato base;2011;161.002
Viajeros;Francia;Salidas internacionales de España;Dato base;2010;264.824
Viajeros;Francia;Salidas internacionales de España;Variación anual;2021;44,5
Viajeros;Francia;Salidas internacionales de España;Variación anual;2020;-71,3
Viajeros;Francia;Salidas internacionales de España;Variación anual;2019;2,8
Viajeros;Francia;Salidas internacionales de España;Variación anual;2018;-1,1
Viajeros;Francia;Salidas internacionales de España;Variación anual;2017;3,9
Viajeros;Francia;Salidas internacionales de España;Variación anual;2016;-9,6
Viajeros;Francia;Salidas internacionales de España;Variación anual;2015;14,2
Viajeros;Francia;Salidas internacionales de España;Variación anual;2014;236
Viajeros;Francia;Salidas internacionales de España;Variación anual;2013;-18,6
Viajeros;Francia;Salidas internacionales de España;Variación anual;2012;-7,7
Viajeros;Francia;Salidas internacionales de España;Variación anual;2011;-39,2
Viajeros;Francia;Salidas internacionales de España;Variación anual;2010;""
Viajeros;Francia;Entradas internacionales de España;Dato base;2021;177.052
Viajeros;Francia;Entradas internacionales de España;Dato base;2020;119.662
Viajeros;Francia;Entradas internacionales de España;Dato base;2019;431.894
Viajeros;Francia;Entradas internacionales de España;Dato base;2018;416.403
Viajeros;Francia;Entradas internacionales de España;Dato base;2017;434.054
Viajeros;Francia;Entradas internacionales de España;Dato base;2016;433.987
