Continente y país de destino;Continente y país de destino;Continente y país de destino;Continente y país de destino;Concepto turístico;Periodo;Total
Total;;;;Turistas;2023M04;2.386.558
Total;;;;Turistas;2023M03;2.046.117
Total;;;;Turistas;2023M02;1.754.320
Total;;;;Turistas;2023M01;1.977.895
Total;;;;Turistas;2022M12;2.347.903
Total;;;;Turistas;2022M11;1.857.827
Total;;;;Turistas;2022M10;2.111.415
Total;;;;Turistas;2022M09;2.267.917
Total;;;;Turistas;2022M08;2.871.234
Total;;;;Turistas;2022M07;2.444.460
Total;;;;Turistas;2022M06;2.057.914
Total;;;;Turistas;2022M05;1.770.784
Total;;;;Turistas;2022M04;1.971.044
Total;;;;Turistas;2022M03;1.580.266
Total;;;;Turistas;2022M02;1.195.573
Total;;;;Turistas;2022M01;1.415.253
Total;;;;Turistas;2021M12;1.784.193
Total;;;;Turistas;2021M11;1.547.843
Total;;;;Turistas;2021M10;1.780.003
Total;;;;Turistas;2021M09;1.713.555
Total;;;;Turistas;2021M08;2.153.162
Total;;;;Turistas;2021M07;1.438.001
Total;;;;Turistas;2021M06;1.060.179
Total;;;;Turistas;2021M05;863.715
Total;;;;Turistas;2021M04;630.021
Total;;;;Turistas;2021M03;606.469
Total;;;;Turistas;2021M02;410.664
Total;;;;Turistas;2021M01;490.048
Total;;;;Turistas;2020M12;545.320
Total;;;;Turistas;2020M11;439.326
Total;;;;Turistas;2020M10;792.761
Total;;;;Turistas;2020M09;855.857
Total;;;;Turistas;2020M08;1.209.192
Total;;;;Turistas;2020M07;917.143
Total;;;;Turistas;2020M06;314.791
Total;;;;Turistas;2020M05;230.541
Total;;;;Turistas;2020M04;142.590
Total;;;;Turistas;2020M03;889.357
Total;;;;Turistas;2020M02;1.684.123
Total;;;;Turistas;2020M01;1.967.427
Total;;;;Turistas;2019M12;2.337.724
Total;;;;Turistas;2019M11;1.743.171
Total;;;;Turistas;2019M10;1.797.819
Total;;;;Turistas;2019M09;2.432.315
Total;;;;Turistas;2019M08;3.076.317
Total;;;;Turistas;2019M07;2.195.973
Total;;;;Pernoctaciones;2023M04;9.298.051
Total;;;;Pernoctaciones;2023M03;7.467.060
Total;;;;Pernoctaciones;2023M02;6.459.729
Total;;;;Pernoctaciones;2023M01;8.770.391
Total;;;;Pernoctaciones;2022M12;9.666.496
Total;;;;Pernoctaciones;2022M11;6.947.382
Total;;;;Pernoctaciones;2022M10;8.385.533
Total;;;;Pernoctaciones;2022M09;10.324.578
Total;;;;Pernoctaciones;2022M08;16.417.767
Total;;;;Pernoctaciones;2022M07;11.692.976
Total;;;;Pernoctaciones;2022M06;7.909.347
Total;;;;Pernoctaciones;2022M05;6.296.486
Total;;;;Pernoctaciones;2022M04;8.028.208
Total;;;;Pernoctaciones;2022M03;5.704.901
Total;;;;Pernoctaciones;2022M02;4.163.753
Total;;;;Pernoctaciones;2022M01;6.335.847
Total;;;;Pernoctaciones;2021M12;7.511.871
Total;;;;Pernoctaciones;2021M11;5.608.176
Total;;;;Pernoctaciones;2021M10;6.755.149
Total;;;;Pernoctaciones;2021M09;7.505.163
Total;;;;Pernoctaciones;2021M08;11.779.878
Total;;;;Pernoctaciones;2021M07;6.218.466
Total;;;;Pernoctaciones;2021M06;3.734.542
Total;;;;Pernoctaciones;2021M05;2.751.290
Total;;;;Pernoctaciones;2021M04;2.357.499
Total;;;;Pernoctaciones;2021M03;2.086.374
Total;;;;Pernoctaciones;2021M02;1.393.628
Total;;;;Pernoctaciones;2021M01;1.988.175
Total;;;;Pernoctaciones;2020M12;2.796.814
Total;;;;Pernoctaciones;2020M11;2.031.432
Total;;;;Pernoctaciones;2020M10;3.409.962
Total;;;;Pernoctaciones;2020M09;3.565.243
Total;;;;Pernoctaciones;2020M08;7.880.189
Total;;;;Pernoctaciones;2020M07;4.594.690
Total;;;;Pernoctaciones;2020M06;1.223.584
Total;;;;Pernoctaciones;2020M05;949.785
Total;;;;Pernoctaciones;2020M04;686.166
Total;;;;Pernoctaciones;2020M03;4.217.401
Total;;;;Pernoctaciones;2020M02;7.174.586
Total;;;;Pernoctaciones;2020M01;10.114.485
Total;;;;Pernoctaciones;2019M12;10.762.849
Total;;;;Pernoctaciones;2019M11;7.495.531
