dcat.created;dcat.issued;dcat.creator;dcat.contributor;dcat.contact_name;dcat.contact_email;dcat.accrualperiodicity;dcat.spatial;dcat.temporal;dcat.granularity;dcat.dataquality;dcat.publisher_type;dcat.conforms_to;dcat.temporal_coverage_start;dcat.temporal_coverage_end;dcat.accessRights;default.title;default.description;default.theme;default.keyword;default.license;default.license_url;default.language;default.metadata_languages;default.timezone;default.modified;default.modified_updates_on_metadata_change;default.modified_updates_on_data_change;default.data_processed;default.metadata_processed;default.geographic_reference;default.geographic_reference_auto;default.territory;default.geometry_types;default.bbox;default.publisher;default.references;default.records_count;default.attributions;default.source_domain;default.source_domain_title;default.source_domain_address;default.source_dataset;default.shared_catalog;default.federated;default.oauth_scope;default.parent_domain;custom.cycle;custom.periodicity;datasetid
;;;;;;Mensuelle;;;Par gare;;;;;;;Services d'attente en gare;"<p>Ce jeu de données présente, pour chaque gare, le nombre de services suivants mis à disposition :</p><ul> <li>pianos en libre-service,</li><li>babyfoot,</li><li>distributeurs d'histoires courtes,</li><li>recharges Power &amp; Station (vélos pour recharger son smartphone ou sa tablette). </li></ul>";Services gare;Gare de voyageurs,Loisirs,Services en gare;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2020-01-13T08:30:52+00:00;False;True;2020-01-13T08:30:52+00:00;2020-09-30T10:28:18.578000+00:00;world_fr;True;France;;;Gares & Connexions;;108;;;;;;;False;;;;Annuelle;gares-pianos
;;;;;;;;;;;;;;;;Répartition des clients par fréquence en gare (Enquête en gare);"<p>Gares &amp; Connexions réalise régulièrement  des enquêtes clients dans  les gares. Ce jeu de données indique la  répartition (en %) par fréquentation des clients dans les gares   enquêtées.</p><p>Ce jeu de données est issu d'enquêtes non régulières réalisées dans différentes gares de France.</p>";Gares;Gares,Gares de voyageurs,Enquête Gares & Connexions;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2017-09-28T12:40:46+00:00;False;False;2018-01-18T09:43:56+00:00;2020-05-26T18:49:20.964000+00:00;world_fr;True;France;;;Gares & Connexions;;298;;;;;;;False;;;;Irrégulière;frequence-gare
;;;;;;;;;;;;;;;;Supports des Instances régionales de Concertation;<p>Supports de présentation des Instances régionales de concertation (IRC) relatifs aux gares.</p><p>Les IRC (Instances régionales de concertation) sont des instances qui examinent toute les questions relatives aux prestations rendues dans chacune des gares de leur périmètre de gestion. </p><p>Les IRC sont notamment consultées sur le financement des programmes d'investissements prévus. Ces instances se réunissent une fois par an autour d'un support de présentation qui est publié ici.</p>;Gares;Gares de voyageurs,Services en gare,Investissement;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2019-04-02T08:18:28+00:00;False;True;2019-04-02T08:18:28+00:00;2020-09-30T10:33:17.270000+00:00;world_fr;True;France;;;Gares & Connexions;;128;;;;;;;False;;;;;supports-des-instances-regionales-de-concertation
;2014-07-24;;;;;Annuelle;;Depuis 2008;;;;;;;;Accidents passagers depuis 2008;<p>Le jeu de données a pour objectif de donner le nombre de circulations ayant un accident. Cette information est donnée sur une échelle de gravité à 3 niveaux : accidents avec tués / accidents avec blessés graves / accidents avec blessés légers.</p><p><strong>Définitions :<br/></strong><strong>Tué </strong>: toute personne se trouvant dans le train, tuée sur le coup ou décédant dans les 30 jours.</p><p><strong>Blessé grave</strong> : toute personne se trouvant dans le train, qui a été hospitalisée pendant plus de 24 heures.</p><p><strong>Blessé léger</strong> : toute personne se trouvant dans le train, dont la durée de l’hospitalisation est inférieure à 24 heures ou toute personne ayant fait une déclaration de blessure, même s’il n’y a pas eu hospitalisation.</p><p>Ces données sont issues du Rapport annuel Sécurité de l'exploitation sur le réseau ferré national français. Publié chaque année, ce rapport dresse le bilan des activités sécurité de l’entreprise et répond à l’obligation d’information faite à SNCF selon les termes de l’article 17 du décret n° 2006- 1279.<br/></p>;Sécurité ferroviaire;Sécurité,Accidents,Sécurité & Qualité de Service Ferroviaire;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2023-05-17T10:18:47+00:00;False;True;2023-05-17T10:18:47+00:00;2023-05-17T10:18:47.635000+00:00;world_fr;True;France;;;SNCF;;42;;;;;;;False;;;;Annuelle;accidents-passagers
;;;;;;;;;;;;;;;;Subventions investissements CSO de SNCF Réseau depuis 2015;<p>Subventions investissements depuis 2015 issus du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes sociaux de l'EPIC SNCF RÉSEAU)</p>;Réseau;SNCF RESEAU,Comptes Sociaux,Subventions,Investissements;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2022-03-24T09:24:07+00:00;True;True;2021-07-01T15:20:37+00:00;2023-06-14T01:13:39.155000+00:00;world_fr;True;France;;;SNCF Réseau;;30;;;;;;;True;;datasncf;;Annuelle;subventions-investissements-2017-cso
;;;;;;;;;;;;;;;;Bilan actif CSO de SNCF Réseau depuis 2015;<p>Bilan actif depuis 2015 issu du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes sociaux de l'EPIC SNCF RÉSEAU)</p>;Réseau;SNCF RESEAU,Comptes Sociaux,Bilan,Actif;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2022-03-24T10:08:11+00:00;True;True;2021-07-01T14:42:03+00:00;2023-06-14T01:18:03.310000+00:00;world_fr;True;France;;;SNCF Réseau;;108;;;;;;;True;;datasncf;;Annuelle;bilan-actif-2017-cso
;;;;;;;;;;;;;;;;Répartition des clients par catégorie socio-professionnelle (Enquêtes en gare);"<p>Gares &amp; Connexions réalise régulièrement des enquêtes clients dans les gares. Ce jeu de données indique la répartition (en %) par Catégories Socio Professionnelles (CSP) des clients dans les gares enquêtées.</p><p>Les enquêtes sont réalisées lors d’un jour ouvrable de base (très souvent le jeudi), hors veille de départ de grand week-end, hors vacances scolaires.</p>";Gares,Comptage et flux;Gares,Gare de voyageurs,Fréquentation,Enquête Gares & Connexions;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2017-06-02T13:03:40+00:00;False;False;2017-06-07T15:25:47+00:00;2020-05-26T18:49:20.320000+00:00;world_fr;True;France;;;Gares & Connexions;;697;;;;;;;False;;;;Irrégulière;enquetes-gares-connexions-repartition-par-repartition-par-categories-socio-profe
;;;;;;;;;;;;;;;;Répartition des clients par genre  (Enquêtes en gare);"<p>Gares &amp; Connexions réalise régulièrement des enquêtes clients dans les gares. Ce jeu de données indique la répartition (en %)  Homme / Femme dans les gares enquêtées.</p><p>Les enquêtes sont réalisées lors d’un jour ouvrable de base (très souvent le jeudi), hors veille de départ de grand week-end, hors vacances scolaires.</p>";Gares,Comptage et flux;Gare de voyageurs,Gares,Fréquentation,Enquête Gares & Connexions;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2017-05-29T09:12:52+00:00;False;False;2017-06-07T15:26:12+00:00;2020-05-26T18:49:19.974000+00:00;world_fr;True;France;;;Gares & Connexions;;106;;;;;;;False;;;;Irrégulière;enquetes-gares-connexions-repartition-homme-femme
;;;;;;;;;;;;;;;;Provisions risques et charges CCO  du groupe SNCF Réseau depuis 2015;<p>Provisions risques et charges depuis 2015 issues du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes consolidés incluant l'EPIC SNCF RESEAU et ses filiales)</p>;Réseau;SNCF RESEAU,Comptes Consolidés,Provisions,Risques,Charges;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2022-03-24T10:31:38+00:00;True;True;2021-06-29T09:36:14+00:00;2023-06-14T01:16:35.324000+00:00;world_fr;True;France;;;SNCF Réseau;;225;;;;;;;True;;datasncf;;Annuelle;provisions-risques-et-charges-2017-cco
;;;;;;;;;;;;;;;;Production immobilisée CSO de SNCF Réseau depuis 2015;<p>Production immobilisée depuis 2015 issue du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes sociaux de l'EPIC SNCF RÉSEAU)</p>;Réseau;SNCF RESEAU,Comptes Sociaux,Production immobilisée;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2022-03-24T09:34:59+00:00;True;True;2021-07-01T15:35:35+00:00;2023-06-14T01:14:03.351000+00:00;world_fr;True;France;;;SNCF Réseau;;4;;;;;;;True;;datasncf;;Annuelle;production-immobilisee-2017-cso
;;;;;;;;;;;;;;;;Gares équipées du wifi;<p>Liste des gares équipées ou non en wifi</p>;Gares,Digital et innovation;Gares de voyageurs,Gare de voyageurs,wifi,Services en gare;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2017-07-04T15:20:24+00:00;False;True;2017-07-04T15:20:24+00:00;2020-06-11T09:59:31.142000+00:00;world_fr;True;France;;;Gares & Connexions;;2997;;;;;;;False;;;;;gares-equipees-du-wifi
;;;;;;;;;;;;;;;;Temps de correspondance minimaux entre opérateurs SNCF Voyageurs;"<p style=""margin-bottom:12.0pt"">

Suite à l’application du règlement sur les « Droits et Obligations des Voyageurs ferroviaires (DOV) » ou « Passenger Rights Regulation (PRR) »  par SNCF Voyageurs, ce jeu de données permet de reconstituer les temps de correspondance minimaux fixés par SNCF Voyageurs pour répondre à
l’un des critères d’éligibilité au billet direct.
</p><p style=""margin-bottom:12.0pt"">
Les temps de correspondances minimaux à
appliquer sont accessibles via ce<b> <span style=""color:#4472C4;mso-themecolor:
accent1""><a href=""https://eu.ftp.opendatasoft.com/sncf/prr/temps_correspondance/INFOTRAINS_Export_IDH.zip"" target=""_blank""><span style=""color:#4472C4;mso-themecolor:accent1"">lien de
téléchargement</span></a></span></b><span style=""color:#4472C4;mso-themecolor:
accent1"">.</span></p>

<p style=""margin-bottom:12.0pt"">Vous trouverez dans ce jeu de données un zip
quotidien contenant plusieurs fichiers CSV.</p>

<ul><li style=""margin-bottom: 12pt;"">Le fichier
""Export_STATION_COMPANY_DELAY"" fournit le temps de correspondance
minimum à appliquer pour certaines gares et avec des conditions entre
compagnies ferroviaires, quel que soit le trajet. Ces temps remplacent le temps
minimal par défaut de 5 minutes.</li></ul>

<ul><li style=""margin-bottom: 12pt;"">Le fichier
""Export_LOCALITY_COMPANY_DELAY"" fournit les correspondances
autorisées et les temps minimaux  à appliquer pour les correspondances
s'effectuant entre deux gares d'une même localité (par exemple entre deux gares
parisiennes).</li></ul>

<ul><li style=""margin-bottom: 12pt;"">Le fichier
""Export_EQUIPEMENT_GROUP_DELAY"" fournit un temps de correspondance
minimal dans certaines gares et lorsque le trajet s'effectue entre types de
transports  (Ferré, Routier, Tramway, …).</li></ul>

<ul><li style=""margin-bottom: 12pt;"">Le fichier
""Export_STATION_ADDITIONAL_DELAY"" fournit un temps de correspondance
minimal à additionner au temps standard minimum dans certaines gares, quel que
soit le trajet, l’équipement et la compagnie ferroviaire. </li></ul>

<ul><li style=""margin-bottom: 12pt;"">Le fichier
""Export_TRAIN_ADDITIONAL_DELAY"" fournit les numéros de train pour
lesquels un temps de correspondance supplémentaire de 5 minutes est à
additionner au temps standard pour les dates indiquées. </li></ul>

<ul><li style=""margin-bottom: 12pt;"">Les fichiers ""Export_COMPANIES"",
""Export_Equipements"", ""Export_LOCALITIES"" et
""Export_STATIONS"" sont les référentiels associés respectivement aux
compagnies ferroviaires, aux types d’équipement, aux localités et aux gares. </li></ul>

<p style=""margin-bottom:12.0pt"">Pour tous ces fichiers, la valeur
""-1"" indique que la correspondance n'est pas autorisée, et la valeur
""ALL"" s’applique à l'ensemble des compagnies.  </p>

<p></p>";Horaires et itinéraires;correspondance,billet direct,PRR;Open Database License (ODbL);https://data.sncf.com/pages/cgu/A1#A1;fr;fr;;2023-06-13T08:37:37+00:00;False;False;2023-06-13T13:09:20+00:00;2023-06-14T01:21:23.598000+00:00;world_fr;True;France;;;SNCF Voyageurs;;1;;;;;;;True;;datasncf;;Quotidienne;temps-correspondance-minimaux
2014-07-07;;Direction cohésion & ressources humaines;;;;Annuelle;;Depuis 2010;;;;;;;;Agents SNCF de nationalité étrangère;"<p>Agents de nationalité étrangère au 31 décembre depuis 2010.</p><ul><li>""Collège"" : classification selon les collèges de représentation du personnel, à savoir “exécution”, “maîtrise” et “cadre”.</li><li>“Agents au statut” : également désigné par “cadre permanent” à l’intérieur de SNCF, cette notion désigne une position statutaire, quelque soit le collège de l’agent, conforme aux dispositions de la directive interne RH 001 (“Statut des relations collectives entre la SNCF et son personnel”).</li><li>""Agents contractuels"" : désigne un agent qui n’est pas au statut, mais et qui est lié à SNCF par un contrat de travail de droit commun.</li><li>Le personnel roulant comprend les agents de conduite (« exécution roulants conduite ») et les chefs de bord (“exécution roulants trains »).</li></ul><p>Ces données sont issues du Bilan social publié chaque année par la Direction cohésion &amp; ressources humaines de SNCF. Le bilan social présente les données relatives à l’ensemble du personnel de l’entreprise à l’exception des médecins qui interviennent dans le cadre de la médecine du travail et de la médecine de soins des agents en activité, des stagiaires, des concierges et du personnel contractuel sous contrait aidé.</p><p>

</p><p><b>A partir de 2019, le type d’effectif prise en compte par
le Bilan Social a été modifié : les effectifs présentés sont les effectifs
totaux ( et non plus les effectifs « réels).</b></p><p>

<b></b><i></i><u></u><sub></sub><sup></sup><strike></strike><br/></p>";Social et ressources humaines;Social,Ressources humaines,Direction Cohésion;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2023-01-03T11:07:50+00:00;False;True;2023-01-03T11:07:50+00:00;2023-01-03T11:07:50.807000+00:00;world_fr;True;France;;;SNCF;;120;;;;;;;False;;;;Annuelle;agents-nationalite-etrangere
;;;;;;;;;;;;;;;;Codes couleur des lignes Transilien;"<p style=""font-family: Avenir, Helvetica, Arial, sans-serif; margin-bottom: 1em; color: rgb(51, 51, 51); font-size: 14px;"">Codes couleurs des lignes Transilien, RER et train inclus.</p><ul style=""color: rgb(51, 51, 51); font-family: Avenir, Helvetica, Arial, sans-serif; font-size: 14px;""><li>Code RVB</li><li>Code hexadécimal</li></ul>";Horaires et itinéraires;Couleur,Ligne,RER,Ile-de-France,Transilien;Open Database License (ODbL);https://data.sncf.com/pages/cgu/A1#A1;fr;fr;;2021-07-29T15:06:21+00:00;False;True;2021-07-29T15:06:21+00:00;2023-06-14T01:19:21.487000+00:00;world_fr;True;France;;;SNCF Voyageurs;;16;;;;;;;True;;datasncf;;;codes-couleur-des-lignes-transilien
;;;;;;;;;;;;;;;;Travaux dans les grandes gares;<p>Description des travaux réalisés dans plusieurs grandes gares.  Il est également indiqué le montant de l’investissement, la date de mise en service, le montage projet et les partenaires financiers.</p>;Informations institutionnelles et financières,Gares;Gare de voyageurs,Gares de voyageurs,Travaux;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2017-07-04T15:20:14+00:00;False;True;2017-07-04T15:20:14+00:00;2020-05-26T18:49:20.330000+00:00;world_fr;True;France;;;Gares & Connexions;;13;;;;;;;False;;;;Irrégulière;travaux-dans-les-grandes-gares
